,anime_id,Name,English name,Other name,Score,Genres,Synopsis,Type,Episodes,Aired,Premiered,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Scored By,Members,Image URL
1,5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,カウボーイビバップ 天国の扉,8.38,"Action, Sci-Fi","Another day, another bounty—such is the life of the often unlucky crew of the Bebop. However, this routine is interrupted when Faye, who is chasing a fairly worthless target on Mars, witnesses an oil tanker suddenly explode, causing mass hysteria. As casualties mount due to a strange disease spreading through the smoke from the blast, a whopping three hundred million woolong price is placed on the head of the supposed perpetrator.

With lives at stake and a solution to their money problems in sight, the Bebop crew springs into action. Spike, Jet, Faye, and Edward, followed closely by Ein, split up to pursue different leads across Alba City. Through their individual investigations, they discover a cover-up scheme involving a pharmaceutical company, revealing a plot that reaches much further than the ragtag team of bounty hunters could have realized.",Movie,1.0,"Sep 1, 2001",UNKNOWN,Finished Airing,"Sunrise, Bandai Visual",Sony Pictures Entertainment,Bones,Original,1 hr 55 min,R - 17+ (violence & profanity),189.0,602,1448,206248.0,360978,https://cdn.myanimelist.net/images/anime/1439/93480.jpg
21,31,Neon Genesis Evangelion: Death & Rebirth,Neon Genesis Evangelion: Death & Rebirth,新世紀エヴァンゲリオン劇場版 シト新生,7.46,"Drama, Sci-Fi","In the year 2015, more than a decade has passed since the catastrophic event known as Second Impact befell mankind. During this time of recovery, a select few learned of beings known as the Angels—colossal malevolent entities with the intention of triggering the Third Impact and wiping out the rest of humanity.

Called into the city of Tokyo-3 by his father Gendou Ikari, teenager Shinji is thrust headlong into humanity's struggle. Separated from Gendou since the death of his mother, Shinji presumes that his father wishes to repair their shattered familial bonds; instead, he discovers that he was brought to pilot a giant machine capable of fighting the Angels, Evangelion Unit-01. Forced to battle against wave after wave of mankind's greatest threat, the young boy finds himself caught in the middle of a plan that could affect the future of humanity forever.",Movie,1.0,"Mar 15, 1997",UNKNOWN,Finished Airing,"Movic, Sega, TV Tokyo Music, Audio Tanaka","GKIDS, Manga Entertainment","Gainax, Production I.G",Original,1 hr 44 min,R - 17+ (violence & profanity),1855.0,889,687,140233.0,251617,https://cdn.myanimelist.net/images/anime/1993/113122.jpg
22,32,Neon Genesis Evangelion: The End of Evangelion,Neon Genesis Evangelion: The End of Evangelion,新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION,8.55,"Avant Garde, Drama, Sci-Fi","Shinji Ikari is left emotionally comatose after the death of a dear friend. With his son mentally unable to pilot the humanoid robot Evangelion Unit-01, Gendou Ikari's NERV races against the shadow organization SEELE to see who can enact their ultimate plan first. SEELE desires to create a godlike being by fusing their own souls into an Evangelion unit, while Gendou wishes to revert all of humanity into one primordial being so that he can be reunited with Yui, his deceased wife.

SEELE unleashes its military forces in a lethal invasion of NERV headquarters. As SEELE's forces cut down NERV's scientists and security personnel, Asuka Langley Souryuu pilots Evangelion Unit-02 in a desperate last stand against SEELE's heaviest weaponry.

The battle rages on, and a depressed Shinji hides deep within NERV's headquarters. With the fate of the world resting in Shinji's hands, Captain Misato Katsuragi hunts for the teenage boy as society crumbles around them.",Movie,1.0,"Jul 19, 1997",UNKNOWN,Finished Airing,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka","GKIDS, Manga Entertainment","Gainax, Production I.G",Original,1 hr 26 min,R+ - Mild Nudity,98.0,177,27272,586441.0,879361,https://cdn.myanimelist.net/images/anime/1404/98182.jpg
24,43,Koukaku Kidoutai,Ghost in the Shell,GHOST IN THE SHELL（攻殻機動隊）,8.27,"Action, Award Winning, Mystery, Sci-Fi, Suspense","In the year 2029, Niihama City has become a technologically advanced metropolis. Due to great improvements in cybernetics, its citizens are able to replace their limbs with robotic parts. The world is now more interconnected than ever before, and the city's Public Security Section 9 is responsible for combating corruption, terrorism, and other dangerous threats following this shift toward globalization.

The strong-willed Major Motoko Kusanagi of Section 9 spearheads a case involving a mysterious hacker known only as the ""Puppet Master,"" who leaves a trail of victims stripped of their memories. Like many in this futuristic world, the Puppet Master's body is almost entirely robotic, giving them incredible power.

As Motoko and her subordinates follow the enigmatic criminal's trail, other parties—including Section 6—start to get involved, forcing her to confront the extremely complicated nature of the case. Pondering about various philosophical questions, such as her own life's meaning, Motoko soon realizes that the one who will provide these answers is none other than the Puppet Master themself.",Movie,1.0,"Nov 18, 1995",UNKNOWN,Finished Airing,"Bandai Visual, Kodansha",Manga Entertainment,Production I.G,Manga,1 hr 22 min,R+ - Mild Nudity,276.0,329,12339,315593.0,604276,https://cdn.myanimelist.net/images/anime/10/82594.jpg
27,46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Samurai X: The Motion Picture,るろうに剣心 -明治剣客浪漫譚- 維新志士への鎮魂歌,7.55,Drama,"The war against the Tokugawa Shogunate ended years ago. But there are some who are not happy with the outcome. Shigure Takimi watched his friends and family get slashed down in the name of freedom and prosperity. Now he and a band of desperate rebels have sworn to settle one final score. Only one man stands in their way: Kenshin Himura. But when Shigure discovers Kenshin's true identity as the Hitokiri Battousai, his fight becomes a personal vendetta.

(Source: ANN)",Movie,1.0,"Dec 20, 1997",UNKNOWN,Finished Airing,"Fuji TV, Sony Music Entertainment","ADV Films, Aniplex of America",Gallop,Manga,1 hr 31 min,R - 17+ (violence & profanity),1567.0,2885,88,26859.0,50732,https://cdn.myanimelist.net/images/anime/4/47845.jpg
28,47,Akira,Akira,AKIRA（アキラ）,8.16,"Action, Adventure, Horror, Sci-Fi, Supernatural","Japan, 1988. An explosion caused by a young boy with psychic powers tears through the city of Tokyo and ignites the fuse that leads to World War III. In order to prevent any further destruction, he is captured and taken into custody, never to be heard from again. Now, in the year 2019, a restored version of the city known as Neo-Tokyo—an area rife with gang violence and terrorism against the current government—stands in its place. Here, Shoutarou Kaneda leads ""the Capsules,"" a group of misfits known for riding large, custom motorcycles and being in constant conflict with their rivals ""the Clowns.""

During one of these battles, Shoutarou's best friend Tetsuo Shima is caught up in an accident with an esper who finds himself in the streets of Tokyo after escaping confinement from a government institution. Through this encounter, Tetsuo begins to develop his own mysterious abilities, as the government seeks to quarantine this latest psychic in a desperate attempt to prevent him from unleashing the destructive power that could once again bring the city to its knees.",Movie,1.0,"Jul 16, 1988",UNKNOWN,Finished Airing,"Mainichi Broadcasting System, Kodansha, Toho, Streamline Pictures","Funimation, Bandai Entertainment, Geneon Entertainment USA",Tokyo Movie Shinsha,Manga,2 hr 4 min,R+ - Mild Nudity,389.0,208,12961,485580.0,804581,https://cdn.myanimelist.net/images/anime/1408/114012.jpg
35,54,Appleseed (Movie),UNKNOWN,アップルシード,7.06,"Action, Drama, Sci-Fi","Growing out of the chaos of a global war, the city of Utopia is populated by humans and bioroids (artificial humans). On the surface, everything is harmonious, but tensions lurk. Into this seemingly perfect society comes a survivor of the wars, Deunan Knute, who carries a legacy that will turn out to be of critical importance to the future of humanity. 

(Source: ANN)",Movie,1.0,"Apr 17, 2004",UNKNOWN,Finished Airing,"Mainichi Broadcasting System, Toho, TYO Animations, TYO","Sentai Filmworks, Geneon Entertainment USA",Digital Frontier,Manga,1 hr 45 min,R - 17+ (violence & profanity),3723.0,2370,170,41210.0,72186,https://cdn.myanimelist.net/images/anime/9/57231.jpg
62,83,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,Mobile Suit Gundam: The 08th MS Team - Miller's Report,機動戦士ガンダム 第08MS小隊 ミラーズ・リポート,6.76,"Drama, Romance, Sci-Fi","Shortly after being rescued off the Himalayas, Federation Ensign Shiro Amada is accused of espionage due to his encounter with Zeon's top-secret mobile armor. Intelligence officer Alice Miller is assigned to investigate on Shiro's whereabouts during his disappearance. Her documented findings will determine whether or not Shiro is a traitor, and what his fate will be as commander of the 08th MS Team.

(Source: ANN)",Movie,1.0,"Aug 1, 1998",UNKNOWN,Finished Airing,"Sotsu, Atelier Musa",Bandai Entertainment,Sunrise,Original,52 min,PG-13 - Teens 13 or older,5014.0,5384,3,6621.0,13284,https://cdn.myanimelist.net/images/anime/1132/100198.jpg
66,87,Kidou Senshi Gundam: Gyakushuu no Char,Mobile Suit Gundam: Char's Counterattack,機動戦士ガンダム 逆襲のシャア,7.66,"Drama, Sci-Fi","The year is Universal Century 0093. Char Aznable has taken command of Neo Zeon, the rebels of outer space. He firmly believes that humankind can only achieve peace by relocating to space. Thus, he plans to crash the giant asteroid Axis into Earth and plunge the planet into an uninhabitable winter. Char also eagerly anticipates this opportunity to settle a 14-year rivalry with Amuro Ray. The two have been reluctant allies at times, but Char has never forgiven Amuro for causing the death of one of his comrades during the One Year War.

Only the Earth Federation's Londo Bell Unit has the power to stop Char from fulfilling his dangerous goal. Leading the defense of Earth is veteran captain Bright Noa and Amuro Ray with the latest Nu Gundam mobile suit. In this thrilling conclusion to the original Gundam series, Londo Bell engages in a final conflict with Neo Zeon that will decide the fate of Earth and end this long-standing rivalry—once and for all.",Movie,1.0,"Mar 12, 1988",UNKNOWN,Finished Airing,"Sotsu, Nozomi Entertainment, Atelier Musa",Bandai Entertainment,Sunrise,Novel,1 hr 59 min,PG-13 - Teens 13 or older,1225.0,3005,422,27623.0,46928,https://cdn.myanimelist.net/images/anime/1523/92371.jpg
67,88,Kidou Senshi Gundam F91,Mobile Suit Gundam F91,機動戦士ガンダムＦ91,6.62,"Drama, Sci-Fi","In the year 123 of the Universal Century, skirmishes between the Federation government and the rebel group Crossbones Vanguard echo across Earth's space colonies. One of these small battles breaks in the hometown of young Seabook Arno, forcing him and his friends to flee and ensnaring them in the political turmoil that is quickly evolving into an all-out war.

Seabook meets Cecily Fairchild, granddaughter of the aristocrat Meitzer Ronah, who seeks to create a new political power called ""Cosmo Babylonia."" Using the Crossbone Vanguard as its muscle, the Ronah family schemes to restore aristocratic rule and establish an economic system that will benefit the nobility, thus devastating the quality of life for the common people of the Earth Sphere.

Seabook is tasked with piloting the Gundam F91, a mobile suit created by his mother, and must choose between protecting the status Federation's status quo or cooperating with Cecily to find a better way of life for all.",Movie,1.0,"Mar 16, 1991",UNKNOWN,Finished Airing,"Sotsu, Shochiku, Atelier Musa, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,2 hr,PG-13 - Teens 13 or older,5740.0,3771,82,16605.0,30560,https://cdn.myanimelist.net/images/anime/1637/95288.jpg
133,155,X/1999,X - The Movie,"エックス, X/1999",6.57,"Action, Drama, Fantasy, Horror, Sci-Fi, Supernatural","At the millennial edge, the concluding battle for humanity's future is staged. Kamui Shirou's destiny has been decided as he returns to Tokyo to face his ultimate challenge. The Dragon of Heaven, defenders of the Earth, stand ready to protect the world from the Dragon of Earth, the seven angels of legend, who embrace the devastation of the planet to bring about its purification. Now Kamui must decide which side to fight for although he finds the idea utterly unappealing. It isn't until realizing that his two childhood friends, Fuma and Kotori Monou, are in grievous peril that Kamui decides to step into his fated position in the climactic struggle of the Year of Destiny: 1999. 

(Source: AnimeNfo)",Movie,1.0,"Aug 3, 1996",UNKNOWN,Finished Airing,"Kadokawa Shoten, Victor Entertainment, Marubeni, Movic, Sega, Shelty",Manga Entertainment,Madhouse,Manga,1 hr 37 min,R - 17+ (violence & profanity),5999.0,3442,117,18218.0,36913,https://cdn.myanimelist.net/images/anime/7/23579.jpg
142,164,Mononoke Hime,Princess Mononoke,もののけ姫,8.67,"Action, Adventure, Award Winning, Fantasy","When an Emishi village is attacked by a fierce demon boar, the young prince Ashitaka puts his life at stake to defend his tribe. With its dying breath, the beast curses the prince's arm, granting him demonic powers while gradually siphoning his life away. Instructed by the village elders to travel westward for a cure, Ashitaka arrives at Tatara, the Iron Town, where he finds himself embroiled in a fierce conflict: Lady Eboshi of Tatara, promoting constant deforestation, stands against Princess San and the sacred spirits of the forest, who are furious at the destruction brought by the humans. As the opposing forces of nature and mankind begin to clash in a desperate struggle for survival, Ashitaka attempts to seek harmony between the two, all the while battling the latent demon inside of him. Princess Mononoke is a tale depicting the connection of technology and nature, while showing the path to harmony that could be achieved by mutual acceptance.",Movie,1.0,"Jul 12, 1997",UNKNOWN,Finished Airing,"Tokuma Shoten, Nippon Television Network",GKIDS,Studio Ghibli,Original,2 hr 13 min,PG-13 - Teens 13 or older,58.0,105,20632,769154.0,1190601,https://cdn.myanimelist.net/images/anime/7/75919.jpg
164,187,Initial D Third Stage,UNKNOWN,頭文字〈イニシャル〉D THIRD STAGE,7.9,"Action, Drama, Romance","Takumi Fujiwara is a skilled street racer, but he suffers a crushing loss against the team Emperor's leader Kyoichi Sudou due to his AE86 experiencing an engine failure. Doubting his abilities, the recent high school graduate is then approached by the Akagi RedSuns' team leader Ryousuke Takahashi, who proposes the formation of a professional street racing team. Although it would be the ideal way to improve as a street racer, Takumi remains undecided.

Does the young street racer have what it takes to become a professional? Perhaps Ryousuke and the RedSuns can help him reevaluate his own doubts and misconceptions concerning street racing. However, first and foremost, Takumi decides to settle the score with Kyoichi Sudou...",Movie,1.0,"Jan 13, 2001",UNKNOWN,Finished Airing,OB Planning,Funimation,Studio Deen,Manga,1 hr 44 min,PG-13 - Teens 13 or older,735.0,1308,629,104550.0,167970,https://cdn.myanimelist.net/images/anime/13/40397.jpg
176,199,Sen to Chihiro no Kamikakushi,Spirited Away,千と千尋の神隠し,8.78,"Adventure, Award Winning, Supernatural","Stubborn, spoiled, and naïve, 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside, she realizes that there is more to this place than meets the eye, as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start—Chihiro has unwittingly crossed over into the spirit world. Now trapped, she must summon the courage to live and work amongst spirits, with the help of the enigmatic Haku and the cast of unique characters she meets along the way.

Vivid and intriguing, Sen to Chihiro no Kamikakushi tells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home.",Movie,1.0,"Jul 20, 2001",UNKNOWN,Finished Airing,Toho,"Disney Platform Distribution, GKIDS",Studio Ghibli,Original,2 hr 4 min,PG - Children,36.0,44,31139,1234780.0,1760676,https://cdn.myanimelist.net/images/anime/6/79597.jpg
189,212,Project A-Ko,UNKNOWN,プロジェクトＡ子,6.85,"Action, Adventure, Comedy, Sci-Fi","Sixteen years after its destruction by a meteor, Graviton City has been rebuilt into a futuristic metropolis. However, this is of little concern to superpowered high school student Eiko Magami, who only cares about her best friend Shiiko Kotobuki and arriving at school on time. Unfortunately, the incredibly intelligent Biko Daitokuji intends to befriend Shiiko, taking Eiko's place as the Shiiko's best friend using any means she can.

Biko decides that, to accomplish this, she must defeat Eiko in combat. In order to overcome her super strength and speed, Biko creates a mecha and challenges Eiko in front of their school gate. As the two commence their battle, an extremely large spaceship hovers over Earth, searching for something left behind.",Movie,1.0,"Jun 21, 1986",UNKNOWN,Finished Airing,Soeishinsha,"Central Park Media, Discotek Media",APPP,Original,1 hr 23 min,PG-13 - Teens 13 or older,4615.0,4610,123,8219.0,19646,https://cdn.myanimelist.net/images/anime/2/58391.jpg
193,216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,Welcome to Pia Carrot! Sayaka's Love Story,Pia キャロットへようこそ！！劇場版～さやかの恋物語～,5.81,"Comedy, Romance","High schoolers Sayaka Takai and Akihiko Kannazuki work together at a restaurant chain ""Pia Carrot."" Both are interested in each other, but before either could make a move Sayaka was temporarily rotated to the newly established branch at a beach resort. While waitress girls at this new location did their best to confront harassment, make new friends, and attract new customers by attending a beauty contest, Sayaka's feeling for Akihiko never stops and has become stronger and stronger.

(Source: ANN)",Movie,1.0,"Oct 19, 2002",UNKNOWN,Finished Airing,"Bones, Geneon Universal Entertainment",UNKNOWN,I-move,Visual novel,47 min,PG-13 - Teens 13 or older,9671.0,9592,1,1133.0,2878,https://cdn.myanimelist.net/images/anime/1860/116096.jpg
196,219,Kidou Senkan Nadesico: The Prince of Darkness,Martian Successor Nadesico: The Prince of Darkness,機動戦艦ナデシコ The prince of darkness,6.73,"Action, Award Winning, Drama, Sci-Fi","Two years have passed since the end of the ""Martian Successor Nadesico."" Akito and Yurika have disappeared. The Jovians and the Earthlings have joined forces and Ruri is now captain of Nadesico B. As the popularity of Boson Jumping grows, a vast transportation network has been developed. Dubbed the Hisago Plan, this network of Chulip portals holds the answers to the mysteries behind Bose particles and their power. If those secrets should fall into the wrong hands, it could mean big trouble. And big trouble there is. A Martian splinter group has launched an offensive, leaving the United Forces befuddled and desperate. So much so, in fact, that the former crew of the Nadesico is called back to active duty for a special unsanctioned mission-to save us all. Does this menagerie of misfits have what it takes? Who will win the race for the Boson technology? And what the heck happened to Akito and Yurika?",Movie,1.0,"Aug 1, 1998",UNKNOWN,Finished Airing,"Production I.G, TV Tokyo, Starchild Records, Kadokawa Shoten, Toei Video, Movic, Sega, King Records, Audio Tanaka","ADV Films, Nozomi Entertainment",Xebec,Original,1 hr 19 min,R - 17+ (violence & profanity),5152.0,5032,32,8126.0,15786,https://cdn.myanimelist.net/images/anime/10/51253.jpg
280,304,Aa! Megami-sama! Movie,Ah! My Goddess: The Movie,劇場版　ああっ女神さまっ,7.54,"Comedy, Romance, Supernatural","For centuries, a god named Celestin has been imprisoned on the moon for betraying the kingdom of Yggdrasil. Released by the fairy Morgan Le Fey, Celestin travels to Earth to reunite with his former pupil, the goddess Belldandy. Things go awry as Celestin erases Belldandy's memories of her boyfriend Keiichi and uses her as a catalyst to wreak havoc on Earth and Yggdrasil.",Movie,1.0,"Oct 21, 2000",UNKNOWN,Finished Airing,"Bandai Visual, Pony Canyon, Kodansha, Movic, Sega, Imagine",Geneon Entertainment USA,AIC,Original,1 hr 46 min,PG-13 - Teens 13 or older,1590.0,3195,99,22479.0,42124,https://cdn.myanimelist.net/images/anime/5/71211.jpg
289,313,Ace wo Nerae! (1979),Aim for the Ace! (1979),エースをねらえ！,6.93,"Drama, Romance, Sports","High school freshman Hiromi joins the tennis club because of her admiration for Ryuzaki. Ryuzaki is a senior, who's the best tennis player on the team and also nicknamed ""Ochoufujin"", (""Madame Butterfly""), because of her elegance on the tennis court. However, the new coach, Jin Munakata, wants the inexperienced Hiromi to play in a forthcoming tournament.

Due to this, Hiromi considers quitting tennis for good but, in the depth of her soul, she soon realizes that she loves tennis after all. She returns to the club and, under Munakata's coaching, her talent starts to bloom.

In the end, Hiromi develops a strong emotional bond with her coach, not knowing that Munakata is risking his life because of a chronic illness.

(Source: AnimeNfo)",Movie,1.0,"Sep 8, 1979",UNKNOWN,Finished Airing,UNKNOWN,Discotek Media,Tokyo Movie Shinsha,Unknown,1 hr 30 min,PG-13 - Teens 13 or older,4250.0,8485,11,1739.0,4273,https://cdn.myanimelist.net/images/anime/1306/100442.jpg
291,315,Xiao Qian,A Chinese Ghost Story,チャイニーズゴーストストーリー小倩,6.34,"Action, Drama, Fantasy, Romance","A Chinese Ghost Story is a movie that follows a young man named Ning. After the loss of his girlfriend he works as a debt collector to forget his troubles only to encounter more than he had imagined. Accompanied by his constant companion Solid Gold, Ning ends up in a ghost town and from there the adventure ensues. This movie explores some of China`s myths and fantasies as the viewer is taken through a world of drama, romance, and battles between good and evil.

(Source: AniDB)",Movie,1.0,"Jul 31, 1997",UNKNOWN,Finished Airing,"Polygram Japan, Film Workshop",VIZ Media,Triangle Staff,Unknown,1 hr 24 min,PG - Children,7175.0,9362,6,1146.0,3121,https://cdn.myanimelist.net/images/anime/8/28202.jpg
293,317,Final Fantasy VII: Advent Children,UNKNOWN,ファイナルファンタジーVII アドベントチルドレン,7.72,"Action, Fantasy","Two years ago, the world was changed forever. The young Cloud Strife and his band of friends may have defeated Sephiroth and thwarted his plan to crash a giant meteor into the Earth, but this victory was not without great cost. The highly populated city of Midgar was nearly ripped apart in the conflict. Fortunately, many of the city's citizens were able to evacuate to safety, and in the years afterward have formed a new home called Edge.

Final Fantasy VII: Advent Children revolves around Cloud and Tifa as they try to make new lives for themselves, as well as for those around them, in this new city. Together they run a courier service, and tend to their mutual friend Barret’s adopted daughter Marlene and a young orphan by the name of Denzel. Denzel, Cloud, and scores of children are suffering from a mysterious new illness called ""Geostigma.""

The children of the city have one other threat looming over their heads—a trio of powerful men are kidnapping infected kids for unknown reasons. Cloud is determined to save these young ones, not only from Geostigma, but from the kidnappers as well. He has no idea, however, that these men share a link to his old enemy, Sephiroth, and Cloud’s quest to vanquish them will bring him back into conflict with the demons of his past. If there is any hope in conquering these threats, it lays within the bonds of friendship between Cloud and his allies who saved the world once, and now must do so again.",Movie,1.0,"Sep 14, 2005",UNKNOWN,Finished Airing,Square Enix,Sony Pictures Entertainment,Square Enix Visual Works,Game,1 hr 41 min,PG-13 - Teens 13 or older,1098.0,1068,1097,142679.0,209747,https://cdn.myanimelist.net/images/anime/1/317.jpg
347,371,Cardcaptor Sakura Movie 1,Cardcaptor Sakura The Movie,劇場版 カードキャプターさくら,7.63,"Award Winning, Comedy, Drama, Fantasy","During an after-school shopping trip, Sakura Kinomoto decides to participate in the Tomoeda Shopping District's year-end lottery, with the grand prize being a round trip to Hong Kong. Surprisingly, she draws the winning ball. Alongside her best friend Tomoyo Daidouji, her older brother Touya, her crush Yukito Tsukishiro, and Keroberos, Sakura heads off to Hong Kong.

However, vacation for the Cardcaptor will get cut short. Little does Sakura know, the trip may be connected to her recent, prophetic dreams featuring a mysterious woman and Clow Reed himself, creator of the Clow Cards.",Movie,1.0,"Aug 21, 1999",UNKNOWN,Finished Airing,"Bandai Visual, Shochiku, Shelty","Nelvana, Discotek Media, Geneon Entertainment USA",Madhouse,Manga,1 hr 21 min,PG - Children,1312.0,1978,185,56910.0,96711,https://cdn.myanimelist.net/images/anime/1733/90336.jpg
348,372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Cardcaptor Sakura Movie 2: The Sealed Card,劇場版 カードキャプターさくら 封印されたカード,8.21,"Award Winning, Comedy, Drama, Fantasy, Romance","For this year's Nadeshiko Festival, Sakura Kinomoto's elementary school class is presenting a play. She will portray a princess who struggles to respond to the love confession of the neighboring country's prince. Sakura empathizes with her character all too well, since she herself still owes an answer to the boy who confessed his love for her four months ago.

When cousins Shaoran and Meiling Li return from Hong Kong to pay a surprise visit to their friends in Japan, Sakura receives further encouragement to finally declare her feelings. However, she is repeatedly distracted by a presence reminiscent of a Clow Card as well as unexplained disappearances around town.

Eventually, Sakura learns of another of Clow Reed's creations—the ""Nothing""—which was formerly sealed away beneath the magician's old house. It has power equal to all 52 cards Sakura possesses, and furthermore, it wants to take those cards away from her! Objects, space, and people disappear from Tomoeda with each card that is stolen. Sakura sets out to capture the Nothing so everything will return to normal, but what must she sacrifice in the process?",Movie,1.0,"Jul 15, 2000",UNKNOWN,Finished Airing,"Bandai Visual, Shochiku, Kodansha, Shelty, Amber Film Works","Nelvana, Discotek Media, Geneon Entertainment USA",Madhouse,Manga,1 hr 22 min,PG - Children,333.0,1793,438,65052.0,111999,https://cdn.myanimelist.net/images/anime/1652/90326.jpg
354,378,eX-Driver the Movie,UNKNOWN,エクスドライバー the Movie,6.56,"Action, Adventure, Comedy, Sci-Fi","After winning domestic preliminary round, Lisa, Lorna, and Soichi advance to ex-Driver world race competition held in Los Angeles as representative team from Japan. Like a bad omen, they encountered a reckless AI car the first night they arrived at Los Angeles. Although they successfully stopped the car, the local police department is not very happy about that and insists to examine their car overnight. 

However, the problem did not stop just there. The daughter of the United States team`s sponsor, Angela, has gone missing. Lorna realized that Angela was on the reckless AI car before. Soichi who guessed that Angel could be in danger then start looking for her. But Soichi got captured by a mysterious man, and he shocked to find Angela is also there. 

During the confinement inside a warehouse, Soichi finds out that apparently there is a connection between the series of incident and illegal gambling on the ex-Driver world race competition. Now Soichi must escape from the warehouse with Angela... 

(Source: AniDB)",Movie,1.0,"Apr 20, 2002",UNKNOWN,Finished Airing,"Bandai Visual, Dentsu, Genco",Geneon Entertainment USA,Actas,Original,1 hr 2 min,PG-13 - Teens 13 or older,6028.0,7950,4,2397.0,5092,https://cdn.myanimelist.net/images/anime/13/26195.jpg
369,393,Escaflowne,Escaflowne: A Girl in Gaea,エスカフローネ,7.06,"Adventure, Drama, Fantasy, Romance, Sci-Fi","Hitomi Kanzaki is in a very depressed mood. She only wants to sleep and fade away. Her misery summons Lord Folken who sends her to Gaea. The people of Gaea think she is the Wing Goddess, who can call upon the legendary Dragon Armor called Escaflowne. On Gaea, King Van, the sole survior of the White Dragon Clan, is also in a depressed state. Swearing an oath to get his revenge on the Black Dragon Clan that obliterated Van's kingdom, he lives by the sword. Now that the Wing Goddess has finally appeared, she posseses Gaea's world fate in her heart. Escaflowne will either lead Gaea to peace or total ruin.

(Source: ANN)",Movie,1.0,"Jun 24, 2000",UNKNOWN,Finished Airing,Atelier Musa,"Funimation, Bandai Entertainment","Bones, Sunrise",Original,1 hr 37 min,PG-13 - Teens 13 or older,3729.0,2468,199,30924.0,67624,https://cdn.myanimelist.net/images/anime/1539/94517.jpg
381,405,Blood: The Last Vampire,Blood: The Last Vampire,BLOOD THE LAST VAMPIRE (ブラッド ザ ラスト ヴァンパイア),6.88,"Award Winning, Horror, Supernatural","Teropterids are evil beasts which pose as humans and live only to drink human blood. Fortunately for the human world there are groups dedicated to destroying them. A brooding and mysterious girl named Saya is the best teropterid slayer there is, and now, in 1960s Japan, she is sent to a U. S. army base which may be infested...

(Source: ANN)",Movie,1.0,"Nov 18, 2000",UNKNOWN,Finished Airing,"Aniplex, Sony Interactive Entertainment, Information-technology Promotion Agency",Manga Entertainment,Production I.G,Original,48 min,R - 17+ (violence & profanity),4492.0,1850,245,58156.0,107299,https://cdn.myanimelist.net/images/anime/9/18913.jpg
388,415,Tonari no Yamada-kun,My Neighbors the Yamadas,ホーホケキョ となりの山田くん,7.12,"Award Winning, Comedy, Slice of Life","From squabbles about groceries against the ambient noise of the TV to their daily shenanigans, the Yamada family invites only a few unusual gazes—similar to any typical household. But despite their prickly exteriors, each of them genuinely cares for one another, making sure to smile and laugh through their otherwise dull and mundane lives. Tonari no Yamada-kun is an intimate and fun look into the lives of a typical Japanese family.",Movie,1.0,"Jul 17, 1999",UNKNOWN,Finished Airing,Tokuma Shoten,"Disney Platform Distribution, GKIDS",Studio Ghibli,4-koma manga,1 hr 43 min,G - All Ages,3448.0,3050,103,24750.0,45565,https://cdn.myanimelist.net/images/anime/6/64545.jpg
389,416,Kurenai no Buta,Porco Rosso,紅の豚,7.95,"Action, Adventure, Award Winning, Comedy, Drama, Romance","After a curse turned him into a pig, World War I ace Marco Pagot becomes Porco Rosso, a mysterious bounty hunter who takes down sky pirates in the Adriatic Sea. He whiles away his days on a secluded island, rarely leaving other than to collect bounties or to visit the beautiful Gina, a songstress and owner of the Hotel Adriano.

One day, while traveling to fix his faulty engine, Porco Rosso is gunned down by a young American hotshot named Donald Curtis. Thrilled at the possibility of fame, Donald boldly declares that the flying pig is dead. Not wanting to disappoint Gina, Porco Rosso flees to the famous Piccolo S.P.A. airplane company and takes out a massive loan in order to repair and improve his fighter plane. There, he is surprised to find that the chief engineer of Piccolo S.P.A. is the 17-year-old Fio Piccolo, who hungers for a chance to prove herself. With Fio's improvements, Porco Rosso prepares to challenge Donald officially and regain his honor.",Movie,1.0,"Jul 18, 1992",UNKNOWN,Finished Airing,"Tokuma Shoten, Nippon Television Network","Disney Platform Distribution, GKIDS",Studio Ghibli,Manga,1 hr 33 min,G - All Ages,648.0,956,1938,147809.0,234087,https://cdn.myanimelist.net/images/anime/6/2878.jpg
